#X		#Y		#Wave		#Intensity
-1201.459601	-2642.059500	2820.666016	82.669746
-1201.459601	-2642.059500	2819.305664	60.624485
-1201.459601	-2642.059500	2817.944336	101.019485
-1201.459601	-2642.059500	2816.583008	82.634872
-1201.459601	-2642.059500	2815.221680	93.633102
-1201.459601	-2642.059500	2813.859375	95.448914
-1201.459601	-2642.059500	2812.497070	108.274971
-1201.459601	-2642.059500	2811.134766	93.573891
-1201.459601	-2642.059500	2809.771484	122.904488
-1201.459601	-2642.059500	2808.408203	93.534447
-1201.459601	-2642.059500	2807.044922	62.343155
-1201.459601	-2642.059500	2805.681641	104.494446
-1201.459601	-2642.059500	2804.317383	119.135223
-1201.459601	-2642.059500	2802.953125	89.790710
-1201.459601	-2642.059500	2801.588867	111.756729
-1201.459601	-2642.059500	2800.223633	76.931053
-1201.459601	-2642.059500	2798.858398	104.384438
-1201.459601	-2642.059500	2797.493164	78.729576
-1201.459601	-2642.059500	2796.126953	124.476372
-1201.459601	-2642.059500	2794.761719	102.488373
-1201.459601	-2642.059500	2793.394531	115.275154
-1201.459601	-2642.059500	2792.028320	76.833931
-1201.459601	-2642.059500	2790.661133	85.962730
-1201.459601	-2642.059500	2789.293945	98.744911
-1201.459601	-2642.059500	2787.926758	111.521706
-1201.459601	-2642.059500	2786.559570	95.047684
-1201.459601	-2642.059500	2785.191406	113.302246
-1201.459601	-2642.059500	2783.823242	63.947495
-1201.459601	-2642.059500	2782.454102	105.947845
-1201.459601	-2642.059500	2781.084961	93.141449
-1201.459601	-2642.059500	2779.715820	125.988411
-1201.459601	-2642.059500	2778.346680	93.102287
-1201.459601	-2642.059500	2776.976563	125.935440
-1201.459601	-2642.059500	2775.607422	116.785133
-1201.459601	-2642.059500	2774.236328	109.463051
-1201.459601	-2642.059500	2772.866211	138.624054
-1201.459601	-2642.059500	2771.495117	129.476837
-1201.459601	-2642.059500	2770.124023	162.267853
-1201.459601	-2642.059500	2768.751953	145.828110
-1201.459601	-2642.059500	2767.380859	145.797470
-1201.459601	-2642.059500	2766.008789	147.588928
-1201.459601	-2642.059500	2764.636719	171.240067
-1201.459601	-2642.059500	2763.263672	171.204117
-1201.459601	-2642.059500	2761.890625	154.779724
-1201.459601	-2642.059500	2760.517578	180.235001
-1201.459601	-2642.059500	2759.143555	192.938370
-1201.459601	-2642.059500	2757.770508	178.339539
-1201.459601	-2642.059500	2756.396484	191.037964
-1201.459601	-2642.059500	2755.021484	163.712448
-1201.459601	-2642.059500	2753.647461	174.589966
-1201.459601	-2642.059500	2752.272461	198.190750
-1201.459601	-2642.059500	2750.897461	203.602814
-1201.459601	-2642.059500	2749.521484	259.902618
-1201.459601	-2642.059500	2748.145508	214.420090
-1201.459601	-2642.059500	2746.769531	254.343353
-1201.459601	-2642.059500	2745.393555	274.269928
-1201.459601	-2642.059500	2744.016602	283.292267
-1201.459601	-2642.059500	2742.639648	330.438324
-1201.459601	-2642.059500	2741.262695	250.499573
-1201.459601	-2642.059500	2739.884766	306.706879
-1201.459601	-2642.059500	2738.506836	317.529266
-1201.459601	-2642.059500	2737.128906	306.578247
-1201.459601	-2642.059500	2735.750000	288.377045
-1201.459601	-2642.059500	2734.372070	308.263031
-1201.459601	-2642.059500	2732.993164	259.249237
-1201.459601	-2642.059500	2731.613281	308.133789
-1201.459601	-2642.059500	2730.234375	260.952728
-1201.459601	-2642.059500	2728.854492	277.204163
-1201.459601	-2642.059500	2727.473633	280.768860
-1201.459601	-2642.059500	2726.093750	260.788666
-1201.459601	-2642.059500	2724.712891	213.657028
-1201.459601	-2642.059500	2723.332031	231.714996
-1201.459601	-2642.059500	2721.950195	226.236755
-1201.459601	-2642.059500	2720.569336	191.808563
-1201.459601	-2642.059500	2719.187500	200.814056
-1201.459601	-2642.059500	2717.804688	213.433273
-1201.459601	-2642.059500	2716.422852	173.604248
-1201.459601	-2642.059500	2715.040039	191.647873
-1201.459601	-2642.059500	2713.656250	171.723892
-1201.459601	-2642.059500	2712.273438	164.458954
-1201.459601	-2642.059500	2710.889648	153.583328
-1201.459601	-2642.059500	2709.505859	130.066864
-1201.459601	-2642.059500	2708.122070	122.815201
-1201.459601	-2642.059500	2706.737305	108.343658
-1201.459601	-2642.059500	2705.352539	106.515617
