|    |   init_value |   peak_value |   warmup_steps |   decay_steps |   end_value |
| 68 |  3.38813e-25 |  3.38813e-24 |           2250 |          4500 | 1.69407e-25 |
| 69 |  1.69407e-25 |  1.69407e-24 |           2250 |          4500 | 8.47033e-26 |
| 70 |  8.47033e-26 |  8.47033e-25 |           2250 |          4500 | 4.23516e-26 |
| 71 |  4.23516e-26 |  4.23516e-25 |           2250 |          4500 | 2.11758e-26 |
| 72 |  2.11758e-26 |  2.11758e-25 |           2250 |          4500 | 1.05879e-26 |
| 73 |  1.05879e-26 |  1.05879e-25 |           2250 |          4500 | 5.29396e-27 |
| 74 |  5.29396e-27 |  5.29396e-26 |           2250 |          4500 | 2.64698e-27 |
| 75 |  2.64698e-27 |  2.64698e-26 |           2250 |          4500 | 1.32349e-27 |
| 76 |  1.32349e-27 |  1.32349e-26 |           2250 |          4500 | 6.61744e-28 |
| 77 |  6.61744e-28 |  6.61744e-27 |           2250 |          4500 | 3.30872e-28 |
| 78 |  3.30872e-28 |  3.30872e-27 |           2250 |          4500 | 1.65436e-28 |
| 79 |  1.65436e-28 |  1.65436e-27 |           2250 |          4500 | 8.27181e-29 |
| 80 |  8.27181e-29 |  8.27181e-28 |           2250 |          4500 | 4.1359e-29  |
| 81 |  4.1359e-29  |  4.1359e-28  |           2250 |          4500 | 2.06795e-29 |
| 82 |  2.06795e-29 |  2.06795e-28 |           2250 |          4500 | 1.03398e-29 |
| 83 |  1.03398e-29 |  1.03398e-28 |           2250 |          4500 | 5.16988e-30 |
| 84 |  5.16988e-30 |  5.16988e-29 |           2250 |          4500 | 2.58494e-30 |
| 85 |  2.58494e-30 |  2.58494e-29 |           2250 |          4500 | 1.29247e-30 |
| 86 |  1.29247e-30 |  1.29247e-29 |           2250 |          4500 | 6.46235e-31 |
| 87 |  6.46235e-31 |  6.46235e-30 |           2250 |          4500 | 3.23117e-31 |
| 88 |  3.23117e-31 |  3.23117e-30 |           2250 |          4500 | 1.61559e-31 |
| 89 |  1.61559e-31 |  1.61559e-30 |           2250 |          4500 | 8.07794e-32 |
| 90 |  8.07794e-32 |  8.07794e-31 |           2250 |          4500 | 4.03897e-32 |
| 91 |  4.03897e-32 |  4.03897e-31 |           2250 |          4500 | 2.01948e-32 |
| 92 |  2.01948e-32 |  2.01948e-31 |           2250 |          4500 | 1.00974e-32 |
| 93 |  1.00974e-32 |  1.00974e-31 |           2250 |          4500 | 5.04871e-33 |
| 94 |  5.04871e-33 |  5.04871e-32 |           2250 |          4500 | 2.52435e-33 |
| 95 |  2.52435e-33 |  2.52435e-32 |           2250 |          4500 | 1.26218e-33 |
| 96 |  1.26218e-33 |  1.26218e-32 |           2250 |          4500 | 6.31089e-34 |
| 97 |  6.31089e-34 |  6.31089e-33 |           2250 |          4500 | 3.15544e-34 |
| 98 |  3.15544e-34 |  3.15544e-33 |           2250 |          4500 | 1.57772e-34 |
| 99 |  1.57772e-34 |  1.57772e-33 |           2250 |          4500 | 7.88861e-35 |
