-2.005184999999999995e+00 1.478243999999999936e+01 1.897265000000000157e+01 7.024520638975843834e-03
1.574328000000000038e+01 2.629617999999999886e-02 1.895446000000000097e+01 7.635234580015818652e-03
5.849002999999999841e-02 2.243136000000000019e-01 1.858207000000000164e+01 1.069165143756810885e-03
9.329917000000000016e+00 3.410163999999999973e-01 1.930324999999999847e+01 1.230979963268832855e-02
1.071387999999999963e+01 5.547851999999999784e-01 1.922631000000000157e+01 1.026780962428113300e-02
2.886979999999999880e+00 6.437327000000000465e-01 1.857995999999999981e+01 8.763097620131577890e-04
4.304616000000000220e+00 8.622233000000000258e-01 1.895714999999999861e+01 4.662030249880183552e-03
1.349365000000000059e+01 9.200169000000000263e-01 1.894970999999999961e+01 9.949544198295662278e-03
1.487583000000000055e+01 1.118676000000000004e+00 1.895876000000000161e+01 9.447499941883178917e-03
7.060966999999999771e+00 1.264839999999999964e+00 1.896295999999999893e+01 1.003746939898498419e-02
8.505012000000000683e+00 1.461025999999999936e+00 1.884181999999999846e+01 2.257437908118560110e-03
5.976409000000000304e-01 1.578556000000000070e+00 1.887684000000000140e+01 7.403410015165314342e-03
1.978984999999999994e+00 1.783684000000000047e+00 1.887616999999999834e+01 8.303041545996970446e-03
1.119880000000000031e+01 1.844076999999999966e+00 1.913807999999999865e+01 7.182715002429543652e-03
1.257834000000000074e+01 2.046069999999999833e+00 1.865436000000000050e+01 1.212534234580178987e-03
4.817021000000000441e+00 2.159758000000000067e+00 1.895326000000000022e+01 8.764518794492626858e-03
6.197478000000000264e+00 2.364174000000000220e+00 1.893464000000000169e+01 4.810741551338933164e-03
1.539549000000000056e+01 2.455423999999999829e+00 1.858042999999999978e+01 9.486272811975290844e-04
-2.701729999999999965e-01 2.671666999999999792e+00 1.887650999999999968e+01 8.054272760899788830e-03
8.983629999999999782e+00 2.789687999999999946e+00 1.923355000000000103e+01 8.565455797087187517e-03
1.035542000000000051e+01 2.958682000000000034e+00 1.923686999999999969e+01 8.278820986250854524e-03
2.491994000000000042e+00 3.082244000000000206e+00 1.887697999999999965e+01 8.943987508565769823e-03
3.934121999999999897e+00 3.292152999999999885e+00 1.858142000000000138e+01 1.224100134135184615e-03
1.313341999999999921e+01 3.386032000000000153e+00 1.894429999999999836e+01 1.124820961021735094e-02
1.451125000000000043e+01 3.593980999999999870e+00 1.893650999999999840e+01 8.730975552394826256e-03
6.753204000000000207e+00 3.706932000000000116e+00 1.865621000000000151e+01 9.147477049419462224e-04
8.135459000000000884e+00 3.905281000000000002e+00 1.913879000000000019e+01 5.447789692262554329e-03
2.428614000000000051e-01 3.970870999999999817e+00 1.887734999999999985e+01 7.227101859239686010e-03
1.623613999999999891e+00 4.175664000000000264e+00 1.887687000000000026e+01 7.283168204108565573e-03
1.082437000000000005e+01 4.289246000000000336e+00 1.881779999999999831e+01 1.504266858010319240e-03
1.227200000000000024e+01 4.486824999999999619e+00 1.895202000000000098e+01 1.435374108411605065e-02
4.454604999999999926e+00 4.634210999999999636e+00 1.894416999999999973e+01 1.304250895486046107e-02
5.835558999999999941e+00 4.829606000000000066e+00 1.896672999999999831e+01 1.291846434287272256e-02
-2.082323000000000146e+00 4.894872999999999585e+00 1.894592000000000098e+01 1.140327648796502120e-02
-6.601816999999999824e-01 5.114716999999999736e+00 1.858257000000000048e+01 1.015518360106607270e-03
8.615812999999999278e+00 5.194251999999999647e+00 1.924428999999999945e+01 4.937301111893898503e-03
1.000139000000000067e+01 5.411143000000000036e+00 1.930677999999999983e+01 9.931039202824270412e-03
2.156772000000000133e+00 5.532009999999999650e+00 1.858005999999999958e+01 9.821926493089113298e-04
3.584945999999999966e+00 5.729041999999999746e+00 1.893614000000000175e+01 1.128570953195826183e-02
1.278574000000000055e+01 5.786694999999999922e+00 1.897416000000000125e+01 1.168230492439315676e-02
-2.942039999999999988e+00 5.992896000000000001e+00 1.896768000000000143e+01 1.153988220942438712e-02
6.346466999999999636e+00 6.127165999999999890e+00 1.897615000000000052e+01 1.184631697410375682e-02
7.798000000000000043e+00 6.348691999999999780e+00 1.884683000000000064e+01 6.823075390593597023e-04
-1.206461000000000061e-01 6.445542999999999800e+00 1.895341000000000165e+01 8.822326622244905034e-03
1.259068999999999994e+00 6.650669999999999860e+00 1.895766000000000062e+01 7.088353865906805822e-03
1.050174999999999947e+01 6.689642000000000088e+00 1.934241000000000099e+01 1.169466151655632405e-02
1.186758999999999986e+01 6.932490999999999737e+00 1.884644000000000119e+01 1.161294544285521816e-03
4.093955000000000233e+00 7.026186000000000043e+00 1.894457999999999842e+01 1.342554443109019412e-02
5.477988999999999997e+00 7.221524999999999750e+00 1.895429999999999993e+01 1.409684152300597591e-02
-2.428641999999999967e+00 7.348632000000000275e+00 1.865632000000000090e+01 1.027889171158675920e-03
-9.879923999999999928e-01 7.538910999999999696e+00 1.893329999999999913e+01 8.069808494690118225e-03
8.270647999999999556e+00 7.653552999999999606e+00 1.934180999999999884e+01 5.779442225989642017e-03
9.664471000000000700e+00 7.815694999999999837e+00 1.947916000000000025e+01 3.357313832770790051e-03
1.778064000000000089e+00 7.946807999999999872e+00 1.895035000000000025e+01 8.465582633867268711e-03
3.210792000000000090e+00 8.176600999999999786e+00 1.865350000000000108e+01 1.050516824378257968e-03
-4.648134999999999906e+00 8.218251000000000417e+00 1.924327999999999861e+01 7.998076329302071519e-03
-3.291707000000000161e+00 8.446695999999999316e+00 1.913804000000000016e+01 5.666128706591845240e-03
6.030568999999999846e+00 8.573869999999999436e+00 1.881803999999999988e+01 1.309751297864125349e-03
7.413814000000000348e+00 8.726001999999999370e+00 1.930656000000000105e+01 7.362235336660094727e-03
-4.675480000000000191e-01 8.836434000000000566e+00 1.896205000000000140e+01 7.941000370582993254e-03
9.122770999999999519e-01 9.040952000000000766e+00 1.897415000000000163e+01 1.018925096514546567e-02
1.022072999999999965e+01 9.104041000000000494e+00 1.934140000000000015e+01 7.201590423464036307e-03
1.157807999999999993e+01 9.309538999999999120e+00 1.930599000000000132e+01 9.333313537560707085e-03
3.725534000000000123e+00 9.472395000000000564e+00 1.913701999999999970e+01 6.231415927549628815e-03
5.112607999999999819e+00 9.645562999999999221e+00 1.923702000000000112e+01 5.710841076525224012e-03
-2.749664999999999804e+00 9.739224000000000103e+00 1.923252000000000095e+01 5.260531173742792437e-03
-1.359704999999999941e+00 9.988936999999999955e+00 1.884093000000000018e+01 1.089601588005230381e-03
7.918369000000000213e+00 1.003462999999999994e+01 1.924495999999999896e+01 6.567752098690771319e-03
9.326703999999999439e+00 1.016534000000000049e+01 1.884622999999999848e+01 9.094623715073525379e-04
1.441300999999999943e+00 1.040657999999999994e+01 1.883873000000000175e+01 9.890682817127916145e-04
2.851440999999999892e+00 1.053714000000000084e+01 1.922570999999999941e+01 6.992504562037263165e-03
-4.968913999999999831e+00 1.058331000000000088e+01 1.881681999999999988e+01 1.401312878054920049e-03
-3.582062000000000079e+00 1.084258999999999951e+01 1.923586999999999847e+01 6.237051508446878750e-03
5.651701000000000086e+00 1.091787000000000063e+01 1.923382000000000147e+01 5.791886156810780936e-03
7.041928999999999661e+00 1.109502999999999950e+01 1.913974999999999937e+01 4.524401415113996072e-03
-8.023652999999999480e-01 1.126329999999999920e+01 1.930255999999999972e+01 6.494907216082184548e-03
5.554236999999999647e-01 1.146729000000000021e+01 1.933505999999999858e+01 6.602236344579933205e-03
9.860894000000000048e+00 1.153307000000000038e+01 1.897316999999999965e+01 1.344088578651668996e-02
-5.863726999999999911e+00 1.173836000000000013e+01 1.895160999999999873e+01 1.512386680211065017e-02
